City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Thaba-Tseka,LS,20-12-23 23:08:31,-29.52,28.61,53.96,55,15,3.2
282,Skibbereen,IE,20-12-23 23:08:31,51.55,-9.27,39.2,80,40,25.28
283,Luderitz,NA,20-12-23 23:08:32,-26.65,15.16,67.39,54,0,21.68
284,Iracoubo,GF,20-12-23 23:08:32,5.48,-53.2,77.27,89,100,10.2
285,Punta De Piedra,VE,20-12-23 23:08:33,7.62,-71.49,76.68,83,69,1.36
286,Mulege,MX,20-12-23 23:08:33,26.88,-111.98,70.56,34,38,13.0
287,Villa Constitucion,AR,20-12-23 23:08:34,-33.23,-60.33,90.0,26,0,1.99
288,Edd,ER,20-12-23 23:08:34,13.93,41.69,77.9,50,1,14.63
289,Emporia,US,20-12-23 23:08:34,38.4,-96.18,30.2,46,90,29.97
290,Itarema,BR,20-12-23 23:08:35,-2.92,-39.92,79.34,77,99,14.63
291,Kuusankoski,FI,20-12-23 23:08:35,60.91,26.62,33.8,100,90,9.17
292,Tumbes,PE,20-12-23 23:08:36,-3.57,-80.44,76.51,68,78,10.89
293,Sulina,RO,20-12-23 23:08:37,45.16,29.65,41.45,88,100,6.89
294,Chernyshevskiy,RU,20-12-23 23:08:37,63.01,112.47,-38.18,84,57,1.68
295,Faya,SA,20-12-23 23:08:38,18.39,42.45,57.2,93,0,1.79
296,Hambantota,LK,20-12-23 23:08:38,6.12,81.12,76.37,86,100,10.94
297,Chaihe,CN,20-12-23 23:08:38,44.77,129.7,7.45,90,86,8.93
298,Uvira,CD,20-12-23 23:08:39,-3.41,29.15,72.52,64,72,2.59
299,Westport,US,20-12-23 23:03:55,41.14,-73.36,39.0,64,1,4.7
300,Winchester,GB,20-12-23 23:08:40,51.07,-1.32,46.4,93,71,17.22
301,Mookane,BW,20-12-23 23:08:40,-23.69,26.66,77.23,72,86,1.01
302,Broumov,CZ,20-12-23 23:08:40,50.59,16.33,51.01,82,100,18.03
303,Helena,US,20-12-23 23:08:41,46.59,-112.04,32.0,82,1,14.99
304,Kikwit,CD,20-12-23 23:08:41,-5.04,18.82,72.12,87,99,0.85
305,Vostok,RU,20-12-23 23:08:42,46.49,135.88,9.36,98,99,1.99
306,Ushtobe,KZ,20-12-23 23:08:42,45.25,77.98,9.81,81,67,2.19
307,Moron,AR,20-12-23 23:07:04,-34.65,-58.62,84.99,31,0,1.99
308,Katsuura,JP,20-12-23 23:08:43,35.13,140.3,44.6,64,40,5.82
309,Lamu,KE,20-12-23 23:08:43,-2.27,40.9,80.6,83,1,4.7
310,Thanh Hoa,VN,20-12-23 23:08:24,19.8,105.77,62.38,73,91,5.48
